provinsi,wisatawan,Inflasi,kamar.hotel,rm,objek
ACEH,6518831,3.94,1603,35,46
SUMATERA UTARA,10345256,1.23,10296,269,167
SUMATERA BARAT,6402187,2.6,4493,105,77
RIAU,5552920,2.45,6988,180,36
JAMBI,2242802,3.34,2461,42,15
SUMATERA SELATAN,6137095,2.3,6161,165,26
BENGKULU,2018556,2.35,538,22,25
LAMPUNG,6881006,2.69,1997,51,36
KEP. BANGKA BELITUNG,5197635,3.18,2927,23,38
KEP. RIAU,4611718,3.18,13756,182,40
DKI JAKARTA,24967080,3.27,46899,4216,77
JAWA BARAT,53203387,3.54,43034,1794,458
JAWA TENGAH,43110598,2.72,23516,412,302
DI YOGYAKARTA,7858137,3.29,14328,233,177
JAWA TIMUR,53244287,2.9,26585,999,529
BANTEN,13275125,3.42,10607,806,124
BALI,6621617,3.13,52927,557,337
NUSA TENGGARA BARAT,3192581,3.89,5678,45,61
NUSA TENGGARA TIMUR,2947381,3.07,1830,36,38
KALIMANTAN BARAT,3257024,2.91,4269,55,17
KALIMANTAN TENGAH,2745542,4.52,968,39,12
KALIMANTAN SELATAN,4520927,3.75,4075,99,22
KALIMANTAN TIMUR,2613107,3.58,6438,173,23
KALIMANTAN UTARA,634477,5,81,3,6
SULAWESI UTARA,4313069,1.83,3072,64,25
SULAWESI TENGAH,2260800,6.46,1492,6,21
SULAWESI SELATAN,9616232,2.35,10418,258,57
SULAWESI TENGGARA,3370736,2.66,1439,20,19
GORONTALO,938557,2.15,535,10,8
SULAWESI BARAT,941944,3.42,164,2,19
MALUKU,1206288,2.64,1193,27,17
MALUKU UTARA,615624,2.22,116,33,6
PAPUA BARAT,686836,5.19,980,8,14
PAPUA,1354526,3.23,2187,32,21
