y1,y2,y3,y4,species
189,245,137,163,oleracea
192,260,132,217,oleracea
217,276,141,192,oleracea
221,299,142,213,oleracea
171,239,128,158,oleracea
192,262,147,173,oleracea
213,278,136,201,oleracea
192,255,128,185,oleracea
170,244,128,192,oleracea
201,276,146,186,oleracea
195,242,128,192,oleracea
205,263,147,192,oleracea
180,252,121,167,oleracea
192,283,138,183,oleracea
200,294,138,188,oleracea
192,277,150,177,oleracea
200,287,136,173,oleracea
181,255,146,183,oleracea
192,287,141,198,oleracea
181,305,184,209,carduorum
158,237,133,188,carduorum
184,300,166,231,carduorum
171,273,162,213,carduorum
181,297,163,224,carduorum
181,308,160,223,carduorum
177,301,166,221,carduorum
198,308,141,197,carduorum
180,286,146,214,carduorum
177,299,171,192,carduorum
176,317,166,213,carduorum
192,312,166,209,carduorum
176,285,141,200,carduorum
169,287,162,214,carduorum
164,265,147,192,carduorum
181,308,157,204,carduorum
192,276,154,209,carduorum
181,278,149,235,carduorum
175,271,140,192,carduorum
197,303,170,205,carduorum
